obsrdt,dam_code,inflowqy,target_inflow_3h,pred_inflow_HistGradientBoosting
2025-01-03 10:00:00,1003110,0.0,0.43,3.410872726730917
2025-01-03 11:00:00,1003110,0.0,0.0,3.410872726730917
2025-01-03 12:00:00,1003110,0.0,0.0,3.591383031179953
2025-01-03 13:00:00,1003110,0.43,0.0,3.591383031179953
2025-01-03 14:00:00,1003110,0.0,0.0,5.48476194962613
2025-01-03 15:00:00,1003110,0.0,0.0,5.48476194962613
2025-01-03 16:00:00,1003110,0.0,0.0,5.48476194962613
2025-01-03 17:00:00,1003110,0.0,0.0,5.48476194962613
2025-01-03 18:00:00,1003110,0.0,0.43,5.48476194962613
2025-01-03 19:00:00,1003110,0.0,0.43,10.939783822814281
2025-01-03 20:00:00,1003110,0.0,66.93,10.939783822814281
2025-01-03 21:00:00,1003110,0.43,0.0,5.48476194962613
2025-01-03 22:00:00,1003110,0.43,0.43,3.591383031179953
2025-01-03 23:00:00,1003110,66.93,0.43,7.541713775643016
2025-01-04 00:00:00,1003110,0.0,0.43,7.422266968492739
2025-01-04 01:00:00,1003110,0.43,0.43,6.027555101702755
2025-01-04 02:00:00,1003110,0.43,0.43,3.232963670976544
2025-01-04 03:00:00,1003110,0.43,0.43,3.9935861112776134
2025-01-04 04:00:00,1003110,0.43,0.43,3.9935861112776134
2025-01-04 05:00:00,1003110,0.43,0.0,8.045615526184585
2025-01-04 06:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-04 07:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-04 08:00:00,1003110,0.0,0.0,3.410872726730917
2025-01-04 09:00:00,1003110,0.0,0.0,3.410872726730917
2025-01-04 10:00:00,1003110,0.0,0.0,3.410872726730917
2025-01-04 11:00:00,1003110,0.0,0.0,3.591383031179953
2025-01-04 12:00:00,1003110,0.0,0.0,5.48476194962613
2025-01-04 13:00:00,1003110,0.0,0.0,10.939783822814281
2025-01-04 14:00:00,1003110,0.0,0.0,10.939783822814281
2025-01-04 15:00:00,1003110,0.0,0.0,10.939783822814281
2025-01-04 16:00:00,1003110,0.0,0.0,10.939783822814281
2025-01-04 17:00:00,1003110,0.0,64.54,10.939783822814281
2025-01-04 18:00:00,1003110,0.0,0.43,10.939783822814281
2025-01-04 19:00:00,1003110,0.0,0.43,10.939783822814281
2025-01-04 20:00:00,1003110,64.54,0.43,7.541713775643016
2025-01-04 21:00:00,1003110,0.43,0.43,7.422266968492739
2025-01-04 22:00:00,1003110,0.43,0.43,6.027555101702755
2025-01-04 23:00:00,1003110,0.43,0.43,3.232963670976544
2025-01-05 00:00:00,1003110,0.43,0.43,3.9935861112776134
2025-01-05 01:00:00,1003110,0.43,0.43,3.9935861112776134
2025-01-05 02:00:00,1003110,0.43,0.0,8.045615526184585
2025-01-05 03:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-05 04:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-05 05:00:00,1003110,0.0,0.43,3.410872726730917
2025-01-05 06:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-05 07:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-05 08:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-05 09:00:00,1003110,0.0,0.0,3.410872726730917
2025-01-05 10:00:00,1003110,0.0,0.0,3.410872726730917
2025-01-05 11:00:00,1003110,0.0,153.04,3.410872726730917
2025-01-05 12:00:00,1003110,0.0,0.0,3.591383031179953
2025-01-05 13:00:00,1003110,0.0,0.0,5.48476194962613
2025-01-05 14:00:00,1003110,153.04,0.0,13.773268432657996
2025-01-05 15:00:00,1003110,0.0,0.43,13.653821625507721
2025-01-05 16:00:00,1003110,0.0,0.43,12.25910975871774
2025-01-05 17:00:00,1003110,0.0,0.43,7.561438030575222
2025-01-05 18:00:00,1003110,0.43,0.43,10.225140768292592
2025-01-05 19:00:00,1003110,0.43,0.43,10.225140768292592
2025-01-05 20:00:00,1003110,0.43,0.43,8.045615526184585
2025-01-05 21:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-05 22:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-05 23:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-06 00:00:00,1003110,0.43,149.93,3.410872726730917
2025-01-06 01:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-06 02:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-06 03:00:00,1003110,149.93,0.43,14.501282736705438
2025-01-06 04:00:00,1003110,0.0,0.43,14.381835929555162
2025-01-06 05:00:00,1003110,0.43,0.43,12.98712406276518
2025-01-06 06:00:00,1003110,0.43,0.0,8.289452334622661
2025-01-06 07:00:00,1003110,0.43,0.0,10.953155072340031
2025-01-06 08:00:00,1003110,0.43,0.0,10.953155072340031
2025-01-06 09:00:00,1003110,0.0,0.0,8.045615526184585
2025-01-06 10:00:00,1003110,0.0,0.0,3.410872726730917
2025-01-06 11:00:00,1003110,0.0,0.0,3.410872726730917
2025-01-06 12:00:00,1003110,0.0,0.0,3.591383031179953
2025-01-06 13:00:00,1003110,0.0,0.0,5.48476194962613
2025-01-06 14:00:00,1003110,0.0,0.0,10.939783822814281
2025-01-06 15:00:00,1003110,0.0,0.0,10.939783822814281
2025-01-06 16:00:00,1003110,0.0,0.0,10.939783822814281
2025-01-06 17:00:00,1003110,0.0,0.0,10.939783822814281
2025-01-06 18:00:00,1003110,0.0,0.0,10.939783822814281
2025-01-06 19:00:00,1003110,0.0,0.0,10.939783822814281
2025-01-06 20:00:00,1003110,0.0,0.43,10.939783822814281
2025-01-06 21:00:00,1003110,0.0,0.43,10.939783822814281
2025-01-06 22:00:00,1003110,0.0,0.43,10.939783822814281
2025-01-06 23:00:00,1003110,0.43,0.43,5.48476194962613
2025-01-07 00:00:00,1003110,0.43,0.43,3.591383031179953
2025-01-07 01:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-07 02:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-07 03:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-07 04:00:00,1003110,0.0,0.43,3.410872726730917
2025-01-07 05:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-07 06:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-07 07:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-07 08:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-07 09:00:00,1003110,0.0,0.0,3.410872726730917
2025-01-07 10:00:00,1003110,0.0,0.43,3.410872726730917
2025-01-07 11:00:00,1003110,0.0,0.0,3.410872726730917
2025-01-07 12:00:00,1003110,0.0,0.0,3.591383031179953
2025-01-07 13:00:00,1003110,0.43,0.0,3.591383031179953
2025-01-07 14:00:00,1003110,0.0,0.0,5.48476194962613
2025-01-07 15:00:00,1003110,0.0,0.0,5.48476194962613
2025-01-07 16:00:00,1003110,0.0,0.0,5.48476194962613
2025-01-07 17:00:00,1003110,0.0,0.43,5.48476194962613
2025-01-07 18:00:00,1003110,0.0,0.43,5.48476194962613
2025-01-07 19:00:00,1003110,0.0,0.43,10.939783822814281
2025-01-07 20:00:00,1003110,0.43,0.43,5.48476194962613
2025-01-07 21:00:00,1003110,0.43,0.43,3.591383031179953
2025-01-07 22:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-07 23:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-08 00:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-08 01:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-08 02:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-08 03:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-08 04:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-08 05:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-08 06:00:00,1003110,0.0,0.0,3.410872726730917
2025-01-08 07:00:00,1003110,0.0,0.0,3.410872726730917
2025-01-08 08:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-08 09:00:00,1003110,0.0,0.0,3.410872726730917
2025-01-08 10:00:00,1003110,0.0,0.43,3.591383031179953
2025-01-08 11:00:00,1003110,0.0,0.43,5.48476194962613
2025-01-08 12:00:00,1003110,0.0,0.0,5.48476194962613
2025-01-08 13:00:00,1003110,0.43,0.0,3.591383031179953
2025-01-08 14:00:00,1003110,0.43,0.0,3.591383031179953
2025-01-08 15:00:00,1003110,0.0,0.0,3.591383031179953
2025-01-08 16:00:00,1003110,0.0,0.0,3.591383031179953
2025-01-08 17:00:00,1003110,0.0,0.0,3.591383031179953
2025-01-08 18:00:00,1003110,0.0,0.0,3.591383031179953
2025-01-08 19:00:00,1003110,0.0,0.0,5.48476194962613
2025-01-08 20:00:00,1003110,0.0,0.43,10.939783822814281
2025-01-08 21:00:00,1003110,0.0,0.43,10.939783822814281
2025-01-08 22:00:00,1003110,0.0,0.43,10.939783822814281
2025-01-08 23:00:00,1003110,0.43,0.43,5.48476194962613
2025-01-09 00:00:00,1003110,0.43,0.0,3.591383031179953
2025-01-09 01:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-09 02:00:00,1003110,0.43,116.43,3.410872726730917
2025-01-09 03:00:00,1003110,0.0,0.0,3.410872726730917
2025-01-09 04:00:00,1003110,0.0,0.43,3.410872726730917
2025-01-09 05:00:00,1003110,116.43,0.43,10.761854860598756
2025-01-09 06:00:00,1003110,0.0,0.0,10.642408053448497
2025-01-09 07:00:00,1003110,0.43,0.0,9.2476961866585
2025-01-09 08:00:00,1003110,0.43,0.0,4.550024458515987
2025-01-09 09:00:00,1003110,0.0,0.0,7.213727196233352
2025-01-09 10:00:00,1003110,0.0,0.0,7.213727196233352
2025-01-09 11:00:00,1003110,0.0,50.36,8.226125830633622
2025-01-09 12:00:00,1003110,0.0,0.0,3.591383031179953
2025-01-09 13:00:00,1003110,0.0,0.0,5.48476194962613
2025-01-09 14:00:00,1003110,50.36,0.0,6.574165099082004
2025-01-09 15:00:00,1003110,0.0,0.0,6.45471829193173
2025-01-09 16:00:00,1003110,0.0,0.0,5.060006425141742
2025-01-09 17:00:00,1003110,0.0,0.0,3.232963670976544
2025-01-09 18:00:00,1003110,0.0,0.0,3.9935861112776134
2025-01-09 19:00:00,1003110,0.0,0.43,3.9935861112776134
2025-01-09 20:00:00,1003110,0.0,0.43,15.26995189520177
2025-01-09 21:00:00,1003110,0.0,0.43,10.939783822814281
2025-01-09 22:00:00,1003110,0.43,0.43,5.48476194962613
2025-01-09 23:00:00,1003110,0.43,0.43,3.591383031179953
2025-01-10 00:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-10 01:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-10 02:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-10 03:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-10 04:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-10 05:00:00,1003110,0.0,0.43,3.410872726730917
2025-01-10 06:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-10 07:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-10 08:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-10 09:00:00,1003110,0.0,0.0,3.410872726730917
2025-01-10 10:00:00,1003110,0.0,0.0,3.410872726730917
2025-01-10 11:00:00,1003110,0.0,0.0,3.410872726730917
2025-01-10 12:00:00,1003110,0.0,0.0,3.591383031179953
2025-01-10 13:00:00,1003110,0.0,0.0,5.48476194962613
2025-01-10 14:00:00,1003110,0.0,0.0,10.939783822814281
2025-01-10 15:00:00,1003110,0.0,0.0,10.939783822814281
2025-01-10 16:00:00,1003110,0.0,0.0,10.939783822814281
2025-01-10 17:00:00,1003110,0.0,72.43,10.939783822814281
2025-01-10 18:00:00,1003110,0.0,0.0,10.939783822814281
2025-01-10 19:00:00,1003110,0.0,0.43,10.939783822814281
2025-01-10 20:00:00,1003110,72.43,0.43,8.568821414082873
2025-01-10 21:00:00,1003110,0.0,0.0,8.449374606932599
2025-01-10 22:00:00,1003110,0.43,0.0,7.054662740142611
2025-01-10 23:00:00,1003110,0.43,0.43,4.260071309416402
2025-01-11 00:00:00,1003110,0.0,0.43,5.02069374971747
2025-01-11 01:00:00,1003110,0.0,0.43,5.02069374971747
2025-01-11 02:00:00,1003110,0.43,0.43,8.045615526184585
2025-01-11 03:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-11 04:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-11 05:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-11 06:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-11 07:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-11 08:00:00,1003110,0.0,0.0,3.410872726730917
2025-01-11 09:00:00,1003110,0.0,0.0,3.410872726730917
2025-01-11 10:00:00,1003110,0.0,0.0,3.410872726730917
2025-01-11 11:00:00,1003110,0.0,0.43,3.591383031179953
2025-01-11 12:00:00,1003110,0.0,0.43,5.48476194962613
2025-01-11 13:00:00,1003110,0.0,0.0,10.939783822814281
2025-01-11 14:00:00,1003110,0.43,0.0,5.48476194962613
2025-01-11 15:00:00,1003110,0.43,0.0,3.591383031179953
2025-01-11 16:00:00,1003110,0.0,0.0,3.591383031179953
2025-01-11 17:00:00,1003110,0.0,0.0,3.591383031179953
2025-01-11 18:00:00,1003110,0.0,0.0,3.591383031179953
2025-01-11 19:00:00,1003110,0.0,0.0,3.591383031179953
2025-01-11 20:00:00,1003110,0.0,0.43,5.48476194962613
2025-01-11 21:00:00,1003110,0.0,0.43,10.939783822814281
2025-01-11 22:00:00,1003110,0.0,0.43,10.939783822814281
2025-01-11 23:00:00,1003110,0.43,0.43,5.48476194962613
2025-01-12 00:00:00,1003110,0.43,0.43,3.591383031179953
2025-01-12 01:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-12 02:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-12 03:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-12 04:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-12 05:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-12 06:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-12 07:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-12 08:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-12 09:00:00,1003110,0.0,0.0,3.410872726730917
2025-01-12 10:00:00,1003110,0.0,0.0,3.410872726730917
2025-01-12 11:00:00,1003110,0.0,0.0,3.410872726730917
2025-01-12 12:00:00,1003110,0.0,0.0,3.591383031179953
2025-01-12 13:00:00,1003110,0.0,0.0,5.48476194962613
2025-01-12 14:00:00,1003110,0.0,0.0,10.939783822814281
2025-01-12 15:00:00,1003110,0.0,0.0,10.939783822814281
2025-01-12 16:00:00,1003110,0.0,0.0,10.939783822814281
2025-01-12 17:00:00,1003110,0.0,0.0,10.939783822814281
2025-01-12 18:00:00,1003110,0.0,0.0,10.939783822814281
2025-01-12 19:00:00,1003110,0.0,0.0,10.939783822814281
2025-01-12 20:00:00,1003110,0.0,0.0,10.939783822814281
2025-01-12 21:00:00,1003110,0.0,0.43,10.939783822814281
2025-01-12 22:00:00,1003110,0.0,0.43,10.939783822814281
2025-01-12 23:00:00,1003110,0.0,0.0,10.939783822814281
2025-01-13 00:00:00,1003110,0.43,0.43,5.48476194962613
2025-01-13 01:00:00,1003110,0.43,0.43,3.591383031179953
2025-01-13 02:00:00,1003110,0.0,0.43,3.591383031179953
2025-01-13 03:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-13 04:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-13 05:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-13 06:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-13 07:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-13 08:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-13 09:00:00,1003110,0.0,0.0,3.410872726730917
2025-01-13 10:00:00,1003110,0.0,0.0,3.410872726730917
2025-01-13 11:00:00,1003110,0.0,0.0,3.410872726730917
2025-01-13 12:00:00,1003110,0.0,0.0,3.591383031179953
2025-01-13 13:00:00,1003110,0.0,0.0,5.48476194962613
2025-01-13 14:00:00,1003110,0.0,0.0,10.939783822814281
2025-01-13 15:00:00,1003110,0.0,0.0,10.939783822814281
2025-01-13 16:00:00,1003110,0.0,0.0,10.939783822814281
2025-01-13 17:00:00,1003110,0.0,0.0,10.939783822814281
2025-01-13 18:00:00,1003110,0.0,0.43,10.939783822814281
2025-01-13 19:00:00,1003110,0.0,0.43,10.939783822814281
2025-01-13 20:00:00,1003110,0.0,0.43,10.939783822814281
2025-01-13 21:00:00,1003110,0.43,0.43,5.48476194962613
2025-01-13 22:00:00,1003110,0.43,0.43,3.591383031179953
2025-01-13 23:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-14 00:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-14 01:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-14 02:00:00,1003110,0.43,124.18,3.410872726730917
2025-01-14 03:00:00,1003110,0.43,82.93,3.410872726730917
2025-01-14 04:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-14 05:00:00,1003110,124.18,0.0,11.696081488966895
2025-01-14 06:00:00,1003110,82.93,0.0,18.6912138331859
2025-01-14 07:00:00,1003110,0.43,0.0,15.812546501625889
2025-01-14 08:00:00,1003110,0.0,0.0,13.040934041138964
2025-01-14 09:00:00,1003110,0.0,0.0,12.185569189602264
2025-01-14 10:00:00,1003110,0.0,0.43,13.6706677884312
2025-01-14 11:00:00,1003110,0.0,0.0,10.720487709544628
2025-01-14 12:00:00,1003110,0.0,0.0,10.119504749079798
2025-01-14 13:00:00,1003110,0.43,0.0,5.48476194962613
2025-01-14 14:00:00,1003110,0.0,0.0,5.48476194962613
2025-01-14 15:00:00,1003110,0.0,0.0,5.48476194962613
2025-01-14 16:00:00,1003110,0.0,125.78,5.48476194962613
2025-01-14 17:00:00,1003110,0.0,0.0,5.48476194962613
2025-01-14 18:00:00,1003110,0.0,0.43,5.48476194962613
2025-01-14 19:00:00,1003110,125.78,0.0,11.696081488966895
2025-01-14 20:00:00,1003110,0.0,0.0,11.576634681816634
2025-01-14 21:00:00,1003110,0.43,0.0,10.181922815026638
2025-01-14 22:00:00,1003110,0.0,0.0,5.484251086884123
2025-01-14 23:00:00,1003110,0.0,0.0,8.147953824601494
2025-01-15 00:00:00,1003110,0.0,0.0,8.147953824601494
2025-01-15 01:00:00,1003110,0.0,0.43,10.119504749079798
2025-01-15 02:00:00,1003110,0.0,0.0,5.48476194962613
2025-01-15 03:00:00,1003110,0.0,0.0,10.939783822814281
2025-01-15 04:00:00,1003110,0.43,0.43,5.48476194962613
2025-01-15 05:00:00,1003110,0.0,0.0,5.48476194962613
2025-01-15 06:00:00,1003110,0.0,0.0,5.48476194962613
2025-01-15 07:00:00,1003110,0.43,0.0,3.591383031179953
2025-01-15 08:00:00,1003110,0.0,0.0,3.591383031179953
2025-01-15 09:00:00,1003110,0.0,0.0,3.591383031179953
2025-01-15 10:00:00,1003110,0.0,0.0,5.48476194962613
2025-01-15 11:00:00,1003110,0.0,0.0,5.48476194962613
2025-01-15 12:00:00,1003110,0.0,0.0,5.48476194962613
2025-01-15 13:00:00,1003110,0.0,0.0,10.939783822814281
2025-01-15 14:00:00,1003110,0.0,0.0,10.939783822814281
2025-01-15 15:00:00,1003110,0.0,0.0,10.939783822814281
2025-01-15 16:00:00,1003110,0.0,0.0,10.939783822814281
2025-01-15 17:00:00,1003110,0.0,0.43,10.939783822814281
2025-01-15 18:00:00,1003110,0.0,0.43,10.939783822814281
2025-01-15 19:00:00,1003110,0.0,0.43,10.939783822814281
2025-01-15 20:00:00,1003110,0.43,0.43,5.48476194962613
2025-01-15 21:00:00,1003110,0.43,0.43,3.591383031179953
2025-01-15 22:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-15 23:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-16 00:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-16 01:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-16 02:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-16 03:00:00,1003110,0.0,0.43,3.410872726730917
2025-01-16 04:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-16 05:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-16 06:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-16 07:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-16 08:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-16 09:00:00,1003110,0.0,0.0,3.410872726730917
2025-01-16 10:00:00,1003110,0.0,0.43,3.410872726730917
2025-01-16 11:00:00,1003110,0.0,0.43,3.410872726730917
2025-01-16 12:00:00,1003110,0.0,0.0,3.591383031179953
2025-01-16 13:00:00,1003110,0.43,0.0,3.591383031179953
2025-01-16 14:00:00,1003110,0.43,55.02,3.591383031179953
2025-01-16 15:00:00,1003110,0.0,0.0,3.591383031179953
2025-01-16 16:00:00,1003110,0.0,0.0,3.591383031179953
2025-01-16 17:00:00,1003110,55.02,0.0,6.574165099082004
2025-01-16 18:00:00,1003110,0.0,0.0,6.45471829193173
2025-01-16 19:00:00,1003110,0.0,0.43,5.060006425141742
2025-01-16 20:00:00,1003110,0.0,0.43,3.232963670976544
2025-01-16 21:00:00,1003110,0.0,0.43,3.9935861112776134
2025-01-16 22:00:00,1003110,0.43,0.43,3.9935861112776134
2025-01-16 23:00:00,1003110,0.43,0.43,8.226125830633622
2025-01-17 00:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-17 01:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-17 02:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-17 03:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-17 04:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-17 05:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-17 06:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-17 07:00:00,1003110,0.0,0.0,3.410872726730917
2025-01-17 08:00:00,1003110,0.0,0.0,3.410872726730917
2025-01-17 09:00:00,1003110,0.0,0.0,3.410872726730917
2025-01-17 10:00:00,1003110,0.0,0.0,3.591383031179953
2025-01-17 11:00:00,1003110,0.0,0.0,5.48476194962613
2025-01-17 12:00:00,1003110,0.0,0.0,10.939783822814281
2025-01-17 13:00:00,1003110,0.0,0.43,10.939783822814281
2025-01-17 14:00:00,1003110,0.0,0.43,10.939783822814281
2025-01-17 15:00:00,1003110,0.0,0.43,10.939783822814281
2025-01-17 16:00:00,1003110,0.43,0.43,5.48476194962613
2025-01-17 17:00:00,1003110,0.43,0.43,3.591383031179953
2025-01-17 18:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-17 19:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-17 20:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-17 21:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-17 22:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-17 23:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-18 00:00:00,1003110,0.0,0.43,3.410872726730917
2025-01-18 01:00:00,1003110,0.0,0.43,3.410872726730917
2025-01-18 02:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-18 03:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-18 04:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-18 05:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-18 06:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-18 07:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-18 08:00:00,1003110,0.0,74.77,3.410872726730917
2025-01-18 09:00:00,1003110,0.0,0.0,3.410872726730917
2025-01-18 10:00:00,1003110,0.0,0.0,3.410872726730917
2025-01-18 11:00:00,1003110,74.77,0.0,8.568821414082873
2025-01-18 12:00:00,1003110,0.0,0.0,8.449374606932599
2025-01-18 13:00:00,1003110,0.0,0.0,7.054662740142611
2025-01-18 14:00:00,1003110,0.0,70.35,4.260071309416402
2025-01-18 15:00:00,1003110,0.0,0.0,5.02069374971747
2025-01-18 16:00:00,1003110,0.0,0.0,5.02069374971747
2025-01-18 17:00:00,1003110,70.35,0.0,13.203564213536534
2025-01-18 18:00:00,1003110,0.0,0.0,8.449374606932599
2025-01-18 19:00:00,1003110,0.0,0.0,7.054662740142611
2025-01-18 20:00:00,1003110,0.0,0.43,4.260071309416402
2025-01-18 21:00:00,1003110,0.0,0.43,5.02069374971747
2025-01-18 22:00:00,1003110,0.0,0.43,5.02069374971747
2025-01-18 23:00:00,1003110,0.43,0.43,10.119504749079798
2025-01-19 00:00:00,1003110,0.43,0.43,3.591383031179953
2025-01-19 01:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-19 02:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-19 03:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-19 04:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-19 05:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-19 06:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-19 07:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-19 08:00:00,1003110,0.0,0.0,3.410872726730917
2025-01-19 09:00:00,1003110,0.0,0.43,3.410872726730917
2025-01-19 10:00:00,1003110,0.0,0.0,3.410872726730917
2025-01-19 11:00:00,1003110,0.0,0.0,3.591383031179953
2025-01-19 12:00:00,1003110,0.43,0.0,3.591383031179953
2025-01-19 13:00:00,1003110,0.0,0.0,5.48476194962613
2025-01-19 14:00:00,1003110,0.0,0.0,5.48476194962613
2025-01-19 15:00:00,1003110,0.0,0.0,5.48476194962613
2025-01-19 16:00:00,1003110,0.0,0.0,5.48476194962613
2025-01-19 17:00:00,1003110,0.0,0.0,5.48476194962613
2025-01-19 18:00:00,1003110,0.0,0.0,10.939783822814281
2025-01-19 19:00:00,1003110,0.0,0.0,10.939783822814281
2025-01-19 20:00:00,1003110,0.0,0.43,10.939783822814281
2025-01-19 21:00:00,1003110,0.0,0.43,10.939783822814281
2025-01-19 22:00:00,1003110,0.0,0.43,10.939783822814281
2025-01-19 23:00:00,1003110,0.43,0.43,5.48476194962613
2025-01-20 00:00:00,1003110,0.43,0.43,3.591383031179953
2025-01-20 01:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-20 02:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-20 03:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-20 04:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-20 05:00:00,1003110,0.0,0.43,3.410872726730917
2025-01-20 06:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-20 07:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-20 08:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-20 09:00:00,1003110,0.0,0.0,3.410872726730917
2025-01-20 10:00:00,1003110,0.0,0.0,3.410872726730917
2025-01-20 11:00:00,1003110,0.0,0.43,3.410872726730917
2025-01-20 12:00:00,1003110,0.0,0.0,3.591383031179953
2025-01-20 13:00:00,1003110,0.0,0.0,5.48476194962613
2025-01-20 14:00:00,1003110,0.43,134.4,5.48476194962613
2025-01-20 15:00:00,1003110,0.0,0.0,5.48476194962613
2025-01-20 16:00:00,1003110,0.0,0.0,5.48476194962613
2025-01-20 17:00:00,1003110,134.4,0.43,11.696081488966895
2025-01-20 18:00:00,1003110,0.0,0.0,11.576634681816634
2025-01-20 19:00:00,1003110,0.0,0.0,10.181922815026638
2025-01-20 20:00:00,1003110,0.43,0.43,5.484251086884123
2025-01-20 21:00:00,1003110,0.0,0.43,8.147953824601494
2025-01-20 22:00:00,1003110,0.0,0.43,8.147953824601494
2025-01-20 23:00:00,1003110,0.43,0.43,8.226125830633622
